study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA81157	SAMN01096960	SRS353110	SRX173220	SRR531843	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531843/SRR531843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531843/SRR531843_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531843/SRR531843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531843/SRR531843_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531843	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531843		
PRJNA81157	SAMN01103178	SRS353135	SRX173252	SRR531853	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531853/SRR531853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531853/SRR531853_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531853/SRR531853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531853/SRR531853_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531853	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531853		
PRJNA81157	SAMN01103179	SRS353136	SRX173253	SRR531860	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531860/SRR531860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531860/SRR531860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531860/SRR531860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531860/SRR531860_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531860	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531860		
PRJNA81157	SAMN01103178	SRS353135	SRX173252	SRR531948	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531948/SRR531948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531948/SRR531948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531948/SRR531948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531948/SRR531948_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531948	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531948		
PRJNA81157	SAMN01103180	SRS353137	SRX173266	SRR531949	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531949/SRR531949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531949/SRR531949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531949/SRR531949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531949/SRR531949_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531949	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531949		
PRJNA81157	SAMN01103181	SRS353138	SRX173267	SRR531950	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531950/SRR531950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531950/SRR531950_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531950/SRR531950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531950/SRR531950_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531950	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531950		
PRJNA81157	SAMN01103182	SRS353139	SRX173268	SRR531951	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531951/SRR531951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531951/SRR531951_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531951/SRR531951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531951/SRR531951_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531951	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531951		
PRJNA81157	SAMN01103183	SRS353140	SRX173269	SRR531952	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531952/SRR531952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531952/SRR531952_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531952/SRR531952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531952/SRR531952_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531952	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531952		
PRJNA81157	SAMN01103184	SRS353141	SRX173270	SRR531953	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531953/SRR531953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531953/SRR531953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531953/SRR531953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531953/SRR531953_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531953	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531953		
PRJNA81157	SAMN01103186	SRS353143	SRX173273	SRR531954	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531954/SRR531954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531954/SRR531954_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531954/SRR531954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531954/SRR531954_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531954	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531954		
PRJNA81157	SAMN01103187	SRS353144	SRX173274	SRR531955	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531955/SRR531955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531955/SRR531955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531955/SRR531955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531955/SRR531955_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531955	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531955		
PRJNA81157	SAMN01103188	SRS353145	SRX173275	SRR531956	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531956/SRR531956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531956/SRR531956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531956/SRR531956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531956/SRR531956_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531956	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531956		
PRJNA81157	SAMN01103189	SRS353146	SRX173276	SRR531957	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531957/SRR531957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531957/SRR531957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531957/SRR531957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531957/SRR531957_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531957	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531957		
PRJNA81157	SAMN01103190	SRS353147	SRX173277	SRR531958	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531958/SRR531958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531958/SRR531958_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531958/SRR531958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531958/SRR531958_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531958	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531958		
PRJNA81157	SAMN01103191	SRS353148	SRX173278	SRR531964	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531964/SRR531964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531964/SRR531964_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531964/SRR531964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531964/SRR531964_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531964	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531964		
PRJNA81157	SAMN01103192	SRS353149	SRX173279	SRR531996	7668	Strongylocentrotus purpuratus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531996/SRR531996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531996/SRR531996_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531996/SRR531996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/SRR531996/SRR531996_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531996	ftp.sra.ebi.ac.uk/vol1/srr/SRR531/SRR531996		
