id  expt_name   species
SRR3710279  EICHHORN    drosophila
SRR3710280  EICHHORN    drosophila
SRR3710285  EICHHORN    drosophila
SRR3710286  EICHHORN    drosophila
SRR3710291  EICHHORN    drosophila
SRR3710292  EICHHORN    drosophila
SRR3710293  EICHHORN    drosophila
SRR3710294  EICHHORN    drosophila
SRR3710299  EICHHORN    drosophila
SRR3710288  EICHHORN    drosophila
SRR3710289  EICHHORN    drosophila  
SRR3710295  EICHHORN    drosophila  
SRR3710296  EICHHORN    drosophila  
SRR3710297  EICHHORN    drosophila  
SRR3710298  EICHHORN    drosophila
SRR3710300  EICHHORN    drosophila
SRR3710282  EICHHORN    drosophila
SRR3710283  EICHHORN    drosophila
SRR5469986  RISSLAND    drosophila
SRR5469988  RISSLAND    drosophila
SRR5469990  RISSLAND    drosophila
SRR5469992  RISSLAND    drosophila
SRR5469994  RISSLAND    drosophila
SRR5469998  RISSLAND    drosophila
SRR5470000  RISSLAND    drosophila
SRR5470002  RISSLAND    drosophila
SRR5470004  RISSLAND    drosophila
SRR5470006  RISSLAND    drosophila
