id  expt_name   species
#SRR3710279  EICHHORN    drosophila
#SRR3710280  EICHHORN    drosophila
#SRR3710285  EICHHORN    drosophila
#SRR3710286  EICHHORN    drosophila
#SRR3710291  EICHHORN    drosophila
#SRR3710292  EICHHORN    drosophila
#SRR3710293  EICHHORN    drosophila
#SRR3710294  EICHHORN    drosophila
#SRR3710299  EICHHORN    drosophila
#SRR3710288  EICHHORN    drosophila
#SRR3710289  EICHHORN    drosophila  
#SRR3710295  EICHHORN    drosophila  
#SRR3710296  EICHHORN    drosophila  
#SRR3710297  EICHHORN    drosophila  
#SRR3710298  EICHHORN    drosophila
#SRR3710300  EICHHORN    drosophila
#SRR3710282  EICHHORN    drosophila
#SRR3710283  EICHHORN    drosophila
#SRR1039864  EICHHORN    zebrafish
#SRR1039867  EICHHORN    zebrafish    
#SRR1039870  EICHHORN    zebrafish
#SRR1039882  EICHHORN    xenopus
#SRR1039884  EICHHORN    xenopus
#SRR1146573  EICHHORN    xenopus
#SRR5469986  RISSLAND    drosophila
#SRR5469988  RISSLAND    drosophila
#SRR5469990  RISSLAND    drosophila
#SRR5469992  RISSLAND    drosophila
#SRR5469994  RISSLAND    drosophila
#SRR5469998  RISSLAND    drosophila
#SRR5470000  RISSLAND    drosophila
#SRR5470002  RISSLAND    drosophila
#SRR5470004  RISSLAND    drosophila
#SRR5470006  RISSLAND    drosophila
#ENCFF302NZH GRAVELEY drosophila
#ENCFF014RMP GRAVELEY drosophila
#ENCFF035JZS GRAVELEY drosophila
#ENCFF045DWQ GRAVELEY drosophila
#ENCFF060RZQ GRAVELEY drosophila
#ENCFF140SNH GRAVELEY drosophila
#ENCFF149IVN GRAVELEY drosophila
#ENCFF199MBF GRAVELEY drosophila
#ENCFF221IBY GRAVELEY drosophila
#ENCFF231ZGG GRAVELEY drosophila
#ENCFF284ZSP GRAVELEY drosophila
#ENCFF302NZH GRAVELEY drosophila
#ENCFF376HYS GRAVELEY drosophila
#ENCFF381HJS GRAVELEY drosophila
#ENCFF382TKQ GRAVELEY drosophila
#ENCFF387IFW GRAVELEY drosophila
